Fold,Feature,Packet,Importance
0,L4_payload,1,0.08833324309473187
0,iat_micros,1,0.0
0,packet_dir,1,-0.00794595584848843
0,TCP_win_size,1,0.004367207866527731
0,L4_payload,2,0.10301950466858437
0,iat_micros,2,0.031236162571681367
0,packet_dir,2,0.047097255187230964
0,TCP_win_size,2,0.003781928835200936
0,L4_payload,3,0.05699879236148856
0,iat_micros,3,0.03303641184116794
0,packet_dir,3,0.046290286000367824
0,TCP_win_size,3,0.0025834491104271204
0,L4_payload,4,0.06173375012817487
0,iat_micros,4,0.011995321228456035
0,packet_dir,4,0.10158488704620486
0,TCP_win_size,4,0.0019185953752337385
0,L4_payload,5,0.09442110392705448
0,iat_micros,5,0.07344491186221132
0,packet_dir,5,0.07706500057267726
0,TCP_win_size,5,0.0038615130083785257
0,L4_payload,6,0.14367820205015278
0,iat_micros,6,0.05593128863330893
0,packet_dir,6,0.03865601512953411
0,TCP_win_size,6,0.002645192997836656
0,L4_payload,7,0.03762554413912832
0,iat_micros,7,0.07003552234663504
0,packet_dir,7,0.10177481700670456
0,TCP_win_size,7,0.0018556414146643763
0,L4_payload,8,0.09631491824331996
0,iat_micros,8,0.06478346062832374
0,packet_dir,8,-0.03594713730292805
0,TCP_win_size,8,0.0029405370318533594
0,L4_payload,9,0.07472246005597478
0,iat_micros,9,0.06263781198148856
0,packet_dir,9,0.010801044848699164
0,TCP_win_size,9,0.0030502590340679785
0,L4_payload,10,0.11152213107463124
0,iat_micros,10,0.06899714999288172
0,packet_dir,10,0.024882697137373413
0,TCP_win_size,10,0.002801689777823563
1,L4_payload,1,-0.06609344420237577
1,iat_micros,1,0.0
1,packet_dir,1,0.02245834762136345
1,TCP_win_size,1,0.028735804855860355
1,L4_payload,2,0.020237541166459587
1,iat_micros,2,0.01743018654071541
1,packet_dir,2,0.024112794137648975
1,TCP_win_size,2,0.0025684063890904314
1,L4_payload,3,0.07043122051612152
1,iat_micros,3,-0.06550648022451414
1,packet_dir,3,0.01553526613677347
1,TCP_win_size,3,0.0019760218439398547
1,L4_payload,4,0.03700708926397207
