Fold,Feature,Packet,Importance
0,L4_payload,1,-0.011575547276297716
0,iat_micros,1,0.0
0,packet_dir,1,-0.004389488705584598
0,TCP_win_size,1,0.0108968678608411
0,L4_payload,2,0.062539350908127
0,iat_micros,2,0.015478508867124055
0,packet_dir,2,0.08643332591257968
0,TCP_win_size,2,0.0033425667144491022
0,L4_payload,3,0.09776208432801538
0,iat_micros,3,0.01398524053132805
0,packet_dir,3,-0.03626575041340234
0,TCP_win_size,3,0.0020883494520848728
0,L4_payload,4,0.04670635673758281
0,iat_micros,4,0.024882280236737386
0,packet_dir,4,0.07662970023159926
0,TCP_win_size,4,0.0018100188913283027
0,L4_payload,5,0.05542433851022293
0,iat_micros,5,-0.08522894233501029
0,packet_dir,5,0.15075005864449315
0,TCP_win_size,5,0.0011112461712276009
0,L4_payload,6,0.027374897971599522
0,iat_micros,6,0.05703304559027792
0,packet_dir,6,0.11802156695650615
0,TCP_win_size,6,0.0016650268372028155
0,L4_payload,7,0.11060426791988202
0,iat_micros,7,0.04249572643454172
0,packet_dir,7,0.1606757841482077
0,TCP_win_size,7,0.0013469572797275905
0,L4_payload,8,0.04246898507886149
0,iat_micros,8,0.06667121854628778
0,packet_dir,8,0.0413207877383811
0,TCP_win_size,8,0.000723097837040843
0,L4_payload,9,-0.01644910667818634
0,iat_micros,9,0.06966703950426256
0,packet_dir,9,0.09936268372565507
0,TCP_win_size,9,0.001789613343288551
0,L4_payload,10,0.013945284663500226
0,iat_micros,10,-0.00895738712515293
0,packet_dir,10,0.04604880802672038
0,TCP_win_size,10,0.0024928167626794596
1,L4_payload,1,0.02690493631996003
1,iat_micros,1,0.0
1,packet_dir,1,0.00939037722662208
1,TCP_win_size,1,0.019356237015012826
1,L4_payload,2,0.0541332590924251
1,iat_micros,2,-0.09481606142831933
1,packet_dir,2,0.035757915592710236
1,TCP_win_size,2,0.0030977014978508877
1,L4_payload,3,0.06275067033673255
1,iat_micros,3,0.03908632026107469
1,packet_dir,3,0.059397860377862016
1,TCP_win_size,3,0.0034400219879458446
1,L4_payload,4,0.09729634352739092
1,iat_micros,4,0.023835847020034533
1,packet_dir,4,0.13167007738100678
1,TCP_win_size,4,0.003241904447862937
1,L4_payload,5,0.09871019381562923
1,iat_micros,5,0.05195701779926999
1,packet_dir,5,0.1281816065622746
1,TCP_win_size,5,0.0023599397161453268
1,L4_payload,6,0.050811151303639876
1,iat_micros,6,0.023497062832695075
1,packet_dir,6,-0.007970683975493253
1,TCP_win_size,6,0.001075916730228007
1,L4_payload,7,0.06480747007766402
1,iat_micros,7,0.009471131130997559
1,packet_dir,7,0.07452093691200645
1,TCP_win_size,7,0.002946223815427468
1,L4_payload,8,0.054632724693802696
1,iat_micros,8,0.0707331546405848
1,packet_dir,8,-0.12480323899211229
1,TCP_win_size,8,0.0027337271510860526
1,L4_payload,9,-0.01548579774577765
1,iat_micros,9,-0.040200477160082654
1,packet_dir,9,-0.030315248314036952
1,TCP_win_size,9,0.0020402891797482157
1,L4_payload,10,-0.007461439400563688
1,iat_micros,10,0.07819249774893984
1,packet_dir,10,-0.025962150699747364
1,TCP_win_size,10,0.002098508032345669
2,L4_payload,1,0.029003517891301938
2,iat_micros,1,0.0
2,packet_dir,1,0.007112283240077484
2,TCP_win_size,1,0.03343365234409528
2,L4_payload,2,0.06253494984918333
2,iat_micros,2,0.004185707405298205
2,packet_dir,2,0.057341917938152714
2,TCP_win_size,2,0.001160350529809205
2,L4_payload,3,0.056753095954376914
2,iat_micros,3,0.011109989336493854
2,packet_dir,3,-0.10413978301291596
2,TCP_win_size,3,0.0036820267665098726
2,L4_payload,4,-0.0015599741818471922
2,iat_micros,4,-0.02106398926442666
2,packet_dir,4,-0.07617486968505936
2,TCP_win_size,4,0.002828262436357875
2,L4_payload,5,0.09494220724647483
2,iat_micros,5,0.09919075706694393
2,packet_dir,5,0.02605947291902746
2,TCP_win_size,5,0.0031620251616386865
2,L4_payload,6,0.10342117545270725
2,iat_micros,6,0.08187369511510827
2,packet_dir,6,0.08161405950903118
2,TCP_win_size,6,0.0026173701978274557
2,L4_payload,7,0.1283196436888751
2,iat_micros,7,0.08672883485835571
2,packet_dir,7,0.10968777523226111
2,TCP_win_size,7,0.00185618814510835
2,L4_payload,8,0.09077896495406552
2,iat_micros,8,-0.018832162557164495
2,packet_dir,8,-0.0036773521596919624
2,TCP_win_size,8,0.0018178871656039301
2,L4_payload,9,0.06959045731165978
2,iat_micros,9,-0.01908598436506911
2,packet_dir,9,0.07454573099984227
2,TCP_win_size,9,0.0028925522329990567
2,L4_payload,10,0.09409532032339521
2,iat_micros,10,0.09216543711870474
2,packet_dir,10,0.03703868931122709
2,TCP_win_size,10,0.00268113514309819
3,L4_payload,1,0.049749554667534245
3,iat_micros,1,0.0
3,packet_dir,1,0.016730177637143642
3,TCP_win_size,1,0.009319336653818662
3,L4_payload,2,0.057663268169717605
3,iat_micros,2,0.02066117967440804
3,packet_dir,2,0.06641306249667427
3,TCP_win_size,2,0.007074438472800771
3,L4_payload,3,0.05457346918659551
3,iat_micros,3,-0.021563263015915154
3,packet_dir,3,0.05597384671857877
3,TCP_win_size,3,0.0038447342352702888
3,L4_payload,4,0.07239896431350772
3,iat_micros,4,0.02144992059403381
3,packet_dir,4,0.037866827006728394
3,TCP_win_size,4,0.003852430263009447
3,L4_payload,5,0.06303686451833848
3,iat_micros,5,0.04917346574024993
3,packet_dir,5,0.10575307784164259
3,TCP_win_size,5,0.0030795087955318022
3,L4_payload,6,0.10276604742188744
3,iat_micros,6,0.05501063834873844
3,packet_dir,6,0.139907572649832
3,TCP_win_size,6,0.0037002708118938983
3,L4_payload,7,0.10336325865688699
3,iat_micros,7,0.040125210060980944
3,packet_dir,7,0.07099444284404806
3,TCP_win_size,7,0.002582407445006935
3,L4_payload,8,0.060211776292662486
3,iat_micros,8,0.0439944463613389
3,packet_dir,8,0.023576072827823924
3,TCP_win_size,8,0.0035808992197778828
3,L4_payload,9,0.015732497615255105
3,iat_micros,9,0.042421401977767
3,packet_dir,9,0.11147853342591577
3,TCP_win_size,9,0.0060808144417589215
3,L4_payload,10,-0.08999027942598338
3,iat_micros,10,0.09952762477725469
3,packet_dir,10,0.05004939399434254
3,TCP_win_size,10,0.0019138609322204034
4,L4_payload,1,0.024711432361674345
4,iat_micros,1,0.0
4,packet_dir,1,0.013733999650250748
4,TCP_win_size,1,0.016599801168734017
4,L4_payload,2,0.058638714170424405
4,iat_micros,2,0.043788061702242656
4,packet_dir,2,0.007380060830432406
4,TCP_win_size,2,0.004375629004914855
4,L4_payload,3,0.055170931831912275
4,iat_micros,3,0.022110096452725023
4,packet_dir,3,0.02401357000852408
4,TCP_win_size,3,0.005211092475529991
4,L4_payload,4,0.08926414910324318
4,iat_micros,4,0.0200947680938336
