Fold,Feature,Packet,Importance
0,L4_payload,1,0.09222285512042275
0,iat_micros,1,0.0
0,packet_dir,1,-0.0011644806229929453
0,TCP_win_size,1,0.06538510238497766
0,L4_payload,2,0.18614827563701536
0,iat_micros,2,0.07132589406031342
0,packet_dir,2,0.028432410821889634
0,TCP_win_size,2,0.3096459475131042
0,L4_payload,3,0.10351097169247467
0,iat_micros,3,0.020332235191006617
0,packet_dir,3,0.010999131303968561
0,TCP_win_size,3,0.09751282348596743
0,L4_payload,4,0.19033584953531024
0,iat_micros,4,0.036855110688642764
0,packet_dir,4,0.018041575944547767
0,TCP_win_size,4,0.2388005286690456
0,L4_payload,5,0.1648290403628209
0,iat_micros,5,0.04991625556012439
0,packet_dir,5,0.019913642313407854
0,TCP_win_size,5,0.1039853515307031
0,L4_payload,6,0.09549874205586326
0,iat_micros,6,0.043081562033386644
0,packet_dir,6,0.008566739797195006
0,TCP_win_size,6,0.07601203879076303
0,L4_payload,7,0.03680667626807189
0,iat_micros,7,0.01828074688671153
0,packet_dir,7,0.010719568132728566
0,TCP_win_size,7,0.03896656016820084
0,L4_payload,8,0.041753671196409436
0,iat_micros,8,0.027892098628650056
0,packet_dir,8,0.0036685077862882317
0,TCP_win_size,8,0.027058089741523066
0,L4_payload,9,0.04125282376425996
0,iat_micros,9,0.026002271438270316
0,packet_dir,9,0.00774470242213857
0,TCP_win_size,9,0.056002267154140806
0,L4_payload,10,0.022795889186400676
0,iat_micros,10,0.019758209037416506
0,packet_dir,10,0.0048275349913556
0,TCP_win_size,10,0.05272404406423685
1,L4_payload,1,0.05945820401209118
1,iat_micros,1,0.0
1,packet_dir,1,0.0026948582359421474
1,TCP_win_size,1,0.05873731869499386
1,L4_payload,2,0.16456407886004965
1,iat_micros,2,0.06589195695681409
1,packet_dir,2,0.01950456344353123
1,TCP_win_size,2,0.2963239724778253
1,L4_payload,3,0.08909039448411318
1,iat_micros,3,0.021096323558536634
1,packet_dir,3,0.011783384230747089
1,TCP_win_size,3,0.14059768144945192
1,L4_payload,4,0.19899220518038555
1,iat_micros,4,0.032055626748812426
1,packet_dir,4,0.01494323348674064
1,TCP_win_size,4,0.24310122516450103
1,L4_payload,5,0.1312851113383888
1,iat_micros,5,0.0413878789556372
1,packet_dir,5,0.026304448071227567
1,TCP_win_size,5,0.11495750554978013
1,L4_payload,6,0.08445623018480532
1,iat_micros,6,0.041513324774741886
1,packet_dir,6,0.010909835578529727
1,TCP_win_size,6,0.07357140539113498
1,L4_payload,7,0.05623988778901014
1,iat_micros,7,0.02255395261973767
1,packet_dir,7,0.006939664237736673
1,TCP_win_size,7,0.03489252375993059
1,L4_payload,8,0.031564679702886414
1,iat_micros,8,0.03196764325017472
1,packet_dir,8,0.004596500760226727
1,TCP_win_size,8,0.03936767169195944
1,L4_payload,9,0.035797599397032226
1,iat_micros,9,0.02374889400257423
1,packet_dir,9,0.006700907548817731
1,TCP_win_size,9,0.05112877385658954
1,L4_payload,10,0.0403047885341736
1,iat_micros,10,0.02414437092985428
1,packet_dir,10,0.003614893616017547
1,TCP_win_size,10,0.059408026668398346
2,L4_payload,1,0.07032277539797634
2,iat_micros,1,0.0
2,packet_dir,1,0.004528133463386982
2,TCP_win_size,1,0.06846681005276058
2,L4_payload,2,0.19033449001245709
2,iat_micros,2,0.07239399066274732
2,packet_dir,2,0.019064632310257304
2,TCP_win_size,2,0.30965776856702004
2,L4_payload,3,0.10458144287485169
2,iat_micros,3,0.026258647153840436
2,packet_dir,3,0.007583558777246509
2,TCP_win_size,3,0.09478284765111944
2,L4_payload,4,0.2407322750466297
2,iat_micros,4,0.0433012543090023
2,packet_dir,4,0.01650383942161178
2,TCP_win_size,4,0.20676077531851567
2,L4_payload,5,0.140504196622753
2,iat_micros,5,0.055818304909020226
2,packet_dir,5,0.024888848628341773
2,TCP_win_size,5,0.11379100957177708
2,L4_payload,6,0.1242305259013651
2,iat_micros,6,0.03267280077361224
2,packet_dir,6,0.011008210347733603
2,TCP_win_size,6,0.057862799863353145
2,L4_payload,7,0.04097547535043022
2,iat_micros,7,0.025127895150588487
2,packet_dir,7,0.005329975833944642
2,TCP_win_size,7,0.03476867123291938
2,L4_payload,8,0.02796321765644243
2,iat_micros,8,0.031838265612151466
2,packet_dir,8,0.006861561665197279
2,TCP_win_size,8,0.03043570798441987
2,L4_payload,9,0.05046558857404031
2,iat_micros,9,0.02582243866303717
2,packet_dir,9,0.005865139066663397
2,TCP_win_size,9,0.052883647373663856
2,L4_payload,10,0.028807631760000365
2,iat_micros,10,0.019915035469642604
2,packet_dir,10,0.006773961136409481
2,TCP_win_size,10,0.03475187724615055
3,L4_payload,1,0.07308042553479813
3,iat_micros,1,0.0
3,packet_dir,1,-0.0038530147182338024
3,TCP_win_size,1,0.1021865104804329
3,L4_payload,2,0.179677891774691
3,iat_micros,2,0.0652103699095388
3,packet_dir,2,0.018929754558290025
3,TCP_win_size,2,0.30193882480187095
3,L4_payload,3,0.10369803693961434
3,iat_micros,3,0.035298504160667384
3,packet_dir,3,0.010463778886809383
3,TCP_win_size,3,0.11115005069133267
3,L4_payload,4,0.19455477210281083
3,iat_micros,4,0.046004263329458596
3,packet_dir,4,0.015581373321630827
3,TCP_win_size,4,0.2165462803960987
3,L4_payload,5,0.13628154351752056
3,iat_micros,5,0.04248908558881085
3,packet_dir,5,0.030649086236987998
3,TCP_win_size,5,0.12799502892541473
3,L4_payload,6,0.10019614531206027
3,iat_micros,6,0.04232671016253822
3,packet_dir,6,0.008340431726550652
3,TCP_win_size,6,0.08139235506028672
3,L4_payload,7,0.052335442844445745
3,iat_micros,7,0.02436839280310343
3,packet_dir,7,0.008074481817598154
3,TCP_win_size,7,0.048050976775318464
3,L4_payload,8,0.046986209126831366
3,iat_micros,8,0.03135441876558911
3,packet_dir,8,0.0053613887987218264
3,TCP_win_size,8,0.03689603509651727
3,L4_payload,9,0.034707763145250425
3,iat_micros,9,0.0230662232303111
3,packet_dir,9,0.006384390386064438
3,TCP_win_size,9,0.04262970984743306
3,L4_payload,10,0.03721422474969095
3,iat_micros,10,0.03466297121347661
3,packet_dir,10,0.004414933214673295
3,TCP_win_size,10,0.04710106256893767
4,L4_payload,1,0.09324690889674389
4,iat_micros,1,0.0
4,packet_dir,1,0.0027857758493683373
4,TCP_win_size,1,0.07115773940327974
4,L4_payload,2,0.16599966662671772
4,iat_micros,2,0.07542294313803587
4,packet_dir,2,0.023759250627307008
4,TCP_win_size,2,0.3239382330418073
4,L4_payload,3,0.11133045772062107
4,iat_micros,3,0.02457751038042415
4,packet_dir,3,0.010441116778746616
4,TCP_win_size,3,0.10207306956987242
4,L4_payload,4,0.18718419269359596
4,iat_micros,4,0.01691833904137461
4,packet_dir,4,0.019258819632770867
4,TCP_win_size,4,0.2137406441711265
4,L4_payload,5,0.15434228289820398
4,iat_micros,5,0.03809127265045692
4,packet_dir,5,0.017794764821435598
4,TCP_win_size,5,0.10238119002630226
4,L4_payload,6,0.08005925262946058
4,iat_micros,6,0.04466422400291933
4,packet_dir,6,0.010973745219523063
4,TCP_win_size,6,0.07281298028733202
4,L4_payload,7,0.04665039000065931
4,iat_micros,7,0.020316600368617502
4,packet_dir,7,0.0067941413213809835
4,TCP_win_size,7,0.02931416275985817
4,L4_payload,8,0.034275275608043915
4,iat_micros,8,0.030620985698326667
4,packet_dir,8,0.006228081873664785
4,TCP_win_size,8,0.03903011133629224
4,L4_payload,9,0.027140952672736675
4,iat_micros,9,0.021007439983739794
4,packet_dir,9,0.007347625060121394
4,TCP_win_size,9,0.048363173110824546
4,L4_payload,10,0.03591367622755583
4,iat_micros,10,0.02979278872717564
4,packet_dir,10,0.005992934295713767
4,TCP_win_size,10,0.05223218344515397
