Fold,Feature,Packet,Importance
0,L4_payload,1,0.08039871771120778
0,iat_micros,1,0.0
0,packet_dir,1,-0.00017105747059699056
0,TCP_win_size,1,0.06174014626743363
0,L4_payload,2,0.11374719107847313
0,iat_micros,2,0.09590751215666497
0,packet_dir,2,-0.06919627272875818
0,TCP_win_size,2,0.3243975088218019
0,L4_payload,3,0.061821798638116404
0,iat_micros,3,0.02296526850660127
0,packet_dir,3,0.009423560448534879
0,TCP_win_size,3,0.11488344626852046
0,L4_payload,4,0.14149725386876938
0,iat_micros,4,0.04891791206700255
0,packet_dir,4,0.014601985080142769
0,TCP_win_size,4,0.23164400270171673
0,L4_payload,5,0.10930947434422023
0,iat_micros,5,0.0031561873361044056
0,packet_dir,5,0.027900025778158737
0,TCP_win_size,5,0.1467351289007352
0,L4_payload,6,0.0652516273005158
0,iat_micros,6,0.008090709838517054
0,packet_dir,6,0.009322803571862015
0,TCP_win_size,6,0.06647786419085164
0,L4_payload,7,0.03890910692153438
0,iat_micros,7,0.03769621218135144
0,packet_dir,7,0.012251396929387539
0,TCP_win_size,7,0.04681793547628837
0,L4_payload,8,0.03132044247904195
0,iat_micros,8,0.037287877104687714
0,packet_dir,8,0.005981866520068428
0,TCP_win_size,8,0.03231691815027702
0,L4_payload,9,0.037805296335732534
0,iat_micros,9,0.02328723958942601
0,packet_dir,9,0.005974244361786679
0,TCP_win_size,9,0.050375493307400834
0,L4_payload,10,0.0011651921058838364
0,iat_micros,10,0.02859741718849991
0,packet_dir,10,0.00914805659143816
0,TCP_win_size,10,0.05027661920956011
1,L4_payload,1,0.0652642778275237
1,iat_micros,1,0.0
1,packet_dir,1,0.0004159169565319428
1,TCP_win_size,1,0.06971041640991796
1,L4_payload,2,0.16893614853113406
1,iat_micros,2,0.12677934988195336
1,packet_dir,2,0.022351685698049496
1,TCP_win_size,2,0.2899454227128606
1,L4_payload,3,0.09138724209604543
1,iat_micros,3,0.03532697143195473
1,packet_dir,3,0.014043433711707918
1,TCP_win_size,3,0.1290909424113117
1,L4_payload,4,0.17771238884818782
1,iat_micros,4,0.046939787511360215
1,packet_dir,4,0.01760778017256291
1,TCP_win_size,4,0.2178701673673567
1,L4_payload,5,0.10241782758326103
1,iat_micros,5,0.0440511412589241
1,packet_dir,5,0.031850036463907404
1,TCP_win_size,5,0.11516199937019049
1,L4_payload,6,0.07638571493774426
1,iat_micros,6,0.059960493985289305
1,packet_dir,6,0.009686275712266426
1,TCP_win_size,6,0.06784092631584056
1,L4_payload,7,0.04503430671321242
1,iat_micros,7,0.03287120796562135
1,packet_dir,7,0.011387129844718492
1,TCP_win_size,7,0.043245814099659025
1,L4_payload,8,0.034919927658032875
1,iat_micros,8,0.030804782583330133
1,packet_dir,8,0.006888314994683381
1,TCP_win_size,8,0.03161574568958267
1,L4_payload,9,0.03814093093239854
1,iat_micros,9,0.019719533445756228
1,packet_dir,9,0.007801415428736805
1,TCP_win_size,9,0.0595934791426784
1,L4_payload,10,0.031664240601164
1,iat_micros,10,0.02313176951950444
1,packet_dir,10,0.0094748332752884
1,TCP_win_size,10,0.05233179647520418
2,L4_payload,1,0.04941159244098379
2,iat_micros,1,0.0
2,packet_dir,1,0.001468672808446521
2,TCP_win_size,1,0.05208491978236188
2,L4_payload,2,0.14956757422365968
2,iat_micros,2,0.10538170217639031
2,packet_dir,2,0.019118383807598848
2,TCP_win_size,2,0.28616798430386575
2,L4_payload,3,0.10691386694479062
2,iat_micros,3,0.023347104620529496
2,packet_dir,3,0.010437090170655826
2,TCP_win_size,3,0.1207081975118722
2,L4_payload,4,0.1661747119584708
2,iat_micros,4,0.05535030634135561
2,packet_dir,4,0.008856707380037503
2,TCP_win_size,4,0.20789860806446003
2,L4_payload,5,0.1095146896830008
2,iat_micros,5,0.05007269581498715
2,packet_dir,5,0.017428864316872027
2,TCP_win_size,5,0.10708059654723615
2,L4_payload,6,0.05806380419248156
2,iat_micros,6,0.043249703624051325
2,packet_dir,6,0.008720173038486554
2,TCP_win_size,6,0.05288504605854065
2,L4_payload,7,0.03546570262893549
2,iat_micros,7,0.03640331645359364
2,packet_dir,7,0.009614928396103206
2,TCP_win_size,7,0.04154984657821599
2,L4_payload,8,0.05087764654033067
2,iat_micros,8,0.027949384989972403
2,packet_dir,8,0.007803405915565213
2,TCP_win_size,8,0.0238246392046343
2,L4_payload,9,0.047818137458909414
2,iat_micros,9,0.03443585645586539
2,packet_dir,9,0.006840738177001402
2,TCP_win_size,9,0.04036444095144989
2,L4_payload,10,0.03923101051015332
2,iat_micros,10,0.0285764261972134
2,packet_dir,10,0.004592869536627778
2,TCP_win_size,10,0.07251127655866911
3,L4_payload,1,0.04422142087627293
3,iat_micros,1,0.0
3,packet_dir,1,-0.0009666789181360493
3,TCP_win_size,1,0.06384455551738444
3,L4_payload,2,0.19008596844075556
3,iat_micros,2,0.10378397435426596
3,packet_dir,2,0.018362784942710337
3,TCP_win_size,2,0.29634418109898214
3,L4_payload,3,0.08981621228499514
3,iat_micros,3,0.03590748022918827
3,packet_dir,3,0.004589692383897102
3,TCP_win_size,3,0.1407949387586715
3,L4_payload,4,0.17238045023293794
3,iat_micros,4,0.05573823326725924
3,packet_dir,4,0.011933007260929919
3,TCP_win_size,4,0.27962014533078194
3,L4_payload,5,0.09267528155440566
3,iat_micros,5,0.04233754516664782
3,packet_dir,5,0.03524223137722767
3,TCP_win_size,5,0.12378718291132268
3,L4_payload,6,0.07132978161125225
3,iat_micros,6,0.05866863064864906
3,packet_dir,6,0.009227373232204275
3,TCP_win_size,6,0.07189708683087336
3,L4_payload,7,0.04235448889119085
3,iat_micros,7,0.027665301566339024
3,packet_dir,7,0.008438811406396983
3,TCP_win_size,7,0.04203326895662656
3,L4_payload,8,0.04077940466089646
3,iat_micros,8,0.029152386167767014
3,packet_dir,8,0.005695613688850695
3,TCP_win_size,8,0.0301730195632267
3,L4_payload,9,0.045248976803966785
3,iat_micros,9,0.02999635838329543
3,packet_dir,9,0.003316983691232055
3,TCP_win_size,9,0.05979523021668093
3,L4_payload,10,0.03890856972403717
3,iat_micros,10,0.034273665714256496
3,packet_dir,10,0.00831166849672214
3,TCP_win_size,10,0.06265528503411225
4,L4_payload,1,0.05438708013257416
4,iat_micros,1,0.0
4,packet_dir,1,0.00027916969526469533
4,TCP_win_size,1,0.07178440859929537
4,L4_payload,2,0.1398378808498505
4,iat_micros,2,0.1385959468847206
4,packet_dir,2,0.019001317166157244
4,TCP_win_size,2,0.3110998828373835
4,L4_payload,3,0.10531423629284382
4,iat_micros,3,0.03606333042057719
4,packet_dir,3,0.010844247993242837
4,TCP_win_size,3,0.11366760355329439
4,L4_payload,4,0.1569933397023836
4,iat_micros,4,0.046484494588962956
4,packet_dir,4,0.012616092773300402
4,TCP_win_size,4,0.2358761360458731
4,L4_payload,5,0.12316845457525902
4,iat_micros,5,0.05101087464786376
4,packet_dir,5,0.020200351267417753
4,TCP_win_size,5,0.12985737717505583
