Feature,Packet,Importance
L4_payload,1,0.06644371824686915
iat_micros,1,0.0
packet_dir,1,0.0011789151496905484
TCP_win_size,1,0.05463694527969505
L4_payload,2,0.14567391613538794
iat_micros,2,0.05480477082533906
packet_dir,2,0.02339778512436009
TCP_win_size,2,0.23899373499975746
L4_payload,3,0.09198671478421636
iat_micros,3,0.0260230316872745
packet_dir,3,0.019646611309456934
TCP_win_size,3,0.11602091322655461
L4_payload,4,0.15349573237261452
iat_micros,4,0.03591765147368165
packet_dir,4,0.019757100369313885
TCP_win_size,4,0.15892839410163723
L4_payload,5,0.10355500382333496
iat_micros,5,0.03743226701665424
packet_dir,5,0.02332519840763186
TCP_win_size,5,0.10885229638485465
L4_payload,6,0.08299764199653425
iat_micros,6,0.03152667636979705
packet_dir,6,0.010573878527826397
TCP_win_size,6,0.06653412063565096
L4_payload,7,0.042118693933728614
iat_micros,7,0.020324177668124093
packet_dir,7,0.006523320058391636
TCP_win_size,7,0.04233574490799958
L4_payload,8,0.02817558587728894
iat_micros,8,0.023120981754784845
packet_dir,8,0.00652040094237743
TCP_win_size,8,0.04125654881196511
L4_payload,9,0.030286064645156863
iat_micros,9,0.017912615647443873
packet_dir,9,0.005295106211742261
TCP_win_size,9,0.04802300171382912
L4_payload,10,0.023829199350970786
iat_micros,10,0.01897749118396919
packet_dir,10,0.004168826038705338
TCP_win_size,10,0.05656695301568117
L4_payload,11,0.019517106240336073
iat_micros,11,0.01532402098519559
packet_dir,11,0.004164984125511823
TCP_win_size,11,0.0317157602990442
L4_payload,12,0.010911350197011322
iat_micros,12,0.009559820751101546
packet_dir,12,0.0023253858912646677
TCP_win_size,12,0.01968454571283021
L4_payload,13,0.009049268031364334
iat_micros,13,0.00754288953021424
packet_dir,13,0.001683347155574571
TCP_win_size,13,0.017783612755866377
L4_payload,14,0.008626784449334287
iat_micros,14,0.006527848738385307
packet_dir,14,0.002160870414650038
TCP_win_size,14,0.017409087440171132
L4_payload,15,0.007066715226149279
iat_micros,15,0.006118945967225397
packet_dir,15,0.0021532306497958585
TCP_win_size,15,0.02333617847728026
L4_payload,16,0.005690328960604687
iat_micros,16,0.005264461337427591
packet_dir,16,0.0016346904969397253
TCP_win_size,16,0.009035103747249529
L4_payload,17,0.007205548478152367
iat_micros,17,0.004271498793027089
packet_dir,17,0.0014518737526249873
TCP_win_size,17,0.007014884949070771
L4_payload,18,0.004592534249288748
iat_micros,18,0.006111329806420193
packet_dir,18,0.0012758756339834644
TCP_win_size,18,0.007693566888768474
L4_payload,19,0.005985135751441412
iat_micros,19,0.004881367690739265
packet_dir,19,0.0010418712282575606
TCP_win_size,19,0.006106786848852938
L4_payload,20,0.007411025521563678
iat_micros,20,0.0070360901534740426
packet_dir,20,0.002225588724202556
TCP_win_size,20,0.006364785051258343
