Feature,Packet,Importance
L4_payload,1,0.05254246975317015
iat_micros,1,0.0
packet_dir,1,0.0016211035876835269
TCP_win_size,1,0.06058722831836376
L4_payload,2,0.1291998721063497
iat_micros,2,0.06427732236654649
packet_dir,2,0.02066344152075512
TCP_win_size,2,0.23448333677543404
L4_payload,3,0.08577186448812356
iat_micros,3,0.026836744051896733
packet_dir,3,0.023093245260245417
TCP_win_size,3,0.10494001413293308
L4_payload,4,0.14258477854707938
iat_micros,4,0.037345565577056324
packet_dir,4,0.022650956554421887
TCP_win_size,4,0.14356327037637448
L4_payload,5,0.09558866418395517
iat_micros,5,0.040774398652180896
packet_dir,5,0.019093975946471442
TCP_win_size,5,0.10368899195535833
L4_payload,6,0.08014493830631747
iat_micros,6,0.03818729560166284
packet_dir,6,0.011425692167717967
TCP_win_size,6,0.06470169967568262
L4_payload,7,0.04450979352134436
iat_micros,7,0.02231252026234145
packet_dir,7,0.008676538462904074
TCP_win_size,7,0.04182832977742613
L4_payload,8,0.03542417533956753
iat_micros,8,0.02628608283756238
packet_dir,8,0.00806065732594534
TCP_win_size,8,0.05539173685980364
L4_payload,9,0.035668266158635206
iat_micros,9,0.01915690860768641
packet_dir,9,0.004343948938256395
TCP_win_size,9,0.04922354557114965
L4_payload,10,0.024554010624823493
iat_micros,10,0.019126689320275354
packet_dir,10,0.004279166804717648
TCP_win_size,10,0.052658136454923545
L4_payload,11,0.015830847661061475
iat_micros,11,0.01783064059821793
packet_dir,11,0.004023676472137858
TCP_win_size,11,0.02705508559250333
L4_payload,12,0.009967644542644292
iat_micros,12,0.010097469024762707
packet_dir,12,0.0022984877227170994
TCP_win_size,12,0.019965872133105574
L4_payload,13,0.008943606227534802
iat_micros,13,0.00791953819899226
packet_dir,13,0.0022804089958127073
TCP_win_size,13,0.016898534660339908
L4_payload,14,0.007257937653791511
iat_micros,14,0.0054599188987090215
packet_dir,14,0.002199484052108338
TCP_win_size,14,0.01924694099217666
L4_payload,15,0.007948177326053591
iat_micros,15,0.005687057639910453
packet_dir,15,0.0018491171742857347
TCP_win_size,15,0.022328298014930293
L4_payload,16,0.005413126199598803
iat_micros,16,0.005933278104362789
packet_dir,16,0.0015447466500118662
TCP_win_size,16,0.008644530760861347
L4_payload,17,0.005403233772490982
iat_micros,17,0.00433577846678278
packet_dir,17,0.0010451321555993373
TCP_win_size,17,0.005627246236535323
L4_payload,18,0.004684628286057668
iat_micros,18,0.005297737055775325
packet_dir,18,0.0012937973277346634
TCP_win_size,18,0.006197208984892653
L4_payload,19,0.004397803245969884
iat_micros,19,0.00455573468993696
packet_dir,19,0.0012995018978526859
TCP_win_size,19,0.005818372213444665
L4_payload,20,0.004801052623849799
iat_micros,20,0.006688295924595441
packet_dir,20,0.0016371226122141053
TCP_win_size,20,0.005159921145381222
