Fold,Feature,Packet,Importance
0,L4_payload,1,0.0627483102802309
0,iat_micros,1,0.0
0,packet_dir,1,-0.0006144313669487547
0,TCP_win_size,1,0.055436537394673614
0,L4_payload,2,0.1183035370958042
0,iat_micros,2,0.12135850255397329
0,packet_dir,2,-0.01901195701830665
0,TCP_win_size,2,0.25714552333601526
0,L4_payload,3,0.08159082827652982
0,iat_micros,3,-0.013825100492327873
0,packet_dir,3,0.013514935531230418
0,TCP_win_size,3,0.14052592480440163
0,L4_payload,4,0.15186168527936214
0,iat_micros,4,0.05348049336609909
0,packet_dir,4,0.017968819432814382
0,TCP_win_size,4,0.18006276614788794
0,L4_payload,5,0.08653669818770696
0,iat_micros,5,0.048652944847913035
0,packet_dir,5,0.029684313200100405
0,TCP_win_size,5,0.14475351187082983
0,L4_payload,6,-0.008256877212224187
0,iat_micros,6,0.048555033419784795
0,packet_dir,6,0.010045341226439759
0,TCP_win_size,6,0.04855413464509736
0,L4_payload,7,0.035972646232875896
0,iat_micros,7,0.03268788211233668
0,packet_dir,7,0.011342611442925414
0,TCP_win_size,7,0.05609145353113702
0,L4_payload,8,0.02998376251660264
0,iat_micros,8,0.02559951354467861
0,packet_dir,8,0.004078834419110106
0,TCP_win_size,8,0.030420035768119996
0,L4_payload,9,0.036643475955385224
0,iat_micros,9,0.01734556924885105
0,packet_dir,9,0.006891746363955891
0,TCP_win_size,9,-0.008209079044264295
0,L4_payload,10,0.0242868454143992
0,iat_micros,10,0.018872013978218853
0,packet_dir,10,0.004044725715033599
0,TCP_win_size,10,0.04711160912321679
0,L4_payload,11,0.014832924140617789
0,iat_micros,11,0.017319171929579005
0,packet_dir,11,0.001796356220615393
0,TCP_win_size,11,0.02425966443592248
0,L4_payload,12,0.012714310078001712
0,iat_micros,12,0.009683691646592475
0,packet_dir,12,0.0030045612491693655
0,TCP_win_size,12,0.022742627723523073
0,L4_payload,13,0.00971317121458957
0,iat_micros,13,0.009970164119603008
0,packet_dir,13,0.001073304694894317
0,TCP_win_size,13,0.017728236860803485
0,L4_payload,14,0.005447802100898925
0,iat_micros,14,0.0061752134423124615
0,packet_dir,14,0.0014050774413366534
0,TCP_win_size,14,0.022848384399416943
0,L4_payload,15,0.0068385286303473715
0,iat_micros,15,0.00523533347186103
0,packet_dir,15,0.001913417701504507
0,TCP_win_size,15,0.01391960792934874
0,L4_payload,16,0.005068808053718567
0,iat_micros,16,0.0038972326095209394
0,packet_dir,16,0.000492043127171667
0,TCP_win_size,16,0.011798601115406402
0,L4_payload,17,0.0031246931905119252
0,iat_micros,17,0.0031098370457372055
0,packet_dir,17,0.0017272017339310366
0,TCP_win_size,17,-0.035045967489904066
0,L4_payload,18,0.004809037516608408
0,iat_micros,18,0.004298529594182156
0,packet_dir,18,0.0016154357312390976
0,TCP_win_size,18,0.0014039352199134245
0,L4_payload,19,0.004644114729536613
0,iat_micros,19,0.006329650980522962
0,packet_dir,19,0.0011528345165848105
0,TCP_win_size,19,0.005010564458588698
0,L4_payload,20,0.006897577569516038
0,iat_micros,20,0.005660237977099417
0,packet_dir,20,0.0013709952440018702
0,TCP_win_size,20,0.0066330315867370124
1,L4_payload,1,0.08635054055445245
1,iat_micros,1,0.0
1,packet_dir,1,-0.0001708601691391404
1,TCP_win_size,1,0.05341711065505997
1,L4_payload,2,0.12570306575111104
1,iat_micros,2,0.11663290685582615
1,packet_dir,2,0.02062525057716015
1,TCP_win_size,2,0.25619164672414735
1,L4_payload,3,0.0873595053162757
1,iat_micros,3,0.027852141826540246
1,packet_dir,3,0.009174817669714988
1,TCP_win_size,3,0.10292265986576044
1,L4_payload,4,0.1411154471509604
1,iat_micros,4,0.051479316533444563
1,packet_dir,4,0.018777362457855024
1,TCP_win_size,4,0.16256098557398635
1,L4_payload,5,0.08232389423303679
1,iat_micros,5,0.03840416448649118
1,packet_dir,5,0.028094930307143984
