Window,Scenario,Metric,Mean_rf,Mean_xgboost,T-Statistic,P-Value,Significant
10,home_to_home,f1_ID,93.3420747201496,91.2573872286836,7.591716997760919,0.0016149308503387637,Yes
10,home_to_univr,f1_OOD_or_JD,84.02555841360054,80.84395522043883,10.299177975490146,0.000501333893581461,Yes
10,univr_to_univr,f1_ID,92.04682205113033,90.44726290393565,10.290293460383916,0.0005030148073097005,Yes
10,univr_to_home,f1_OOD_or_JD,79.66690018241269,79.3379239570888,0.6124379904174343,0.5733529567605347,No
10,jd_to_univr,f1_OOD_or_JD,98.26619937130687,95.24003072670527,226.67070754382232,2.2725492315563263e-09,Yes
10,jd_to_home,f1_OOD_or_JD,98.38558593060102,95.50310183583834,112.92207943761015,3.6881515580056044e-08,Yes
20,home_to_home,f1_ID,93.12436339993799,91.62946079217878,5.540393861567508,0.005189176506922974,Yes
20,home_to_univr,f1_OOD_or_JD,83.4082626361315,80.73641802621333,6.689844322132639,0.002596643415436572,Yes
20,univr_to_univr,f1_ID,91.51002093220411,90.62758947104534,4.4687978302565305,0.011084928924225728,Yes
20,univr_to_home,f1_OOD_or_JD,79.93236138321762,79.80954239842946,0.40491789228195213,0.7062572983053599,No
20,jd_to_univr,f1_OOD_or_JD,98.17290663655406,96.28883320092947,55.40474982354551,6.353611507809358e-07,Yes
20,jd_to_home,f1_OOD_or_JD,98.37901569709281,96.37501813272794,49.60236711314517,9.884752416541794e-07,Yes
