Feature,Packet,Importance
L4_payload,1,0.07266183927622479
iat_micros,1,0.0
packet_dir,1,0.0003283788846601965
TCP_win_size,1,0.08603405108688093
L4_payload,2,0.2295789153809892
iat_micros,2,0.0527953696619079
packet_dir,2,3.864410682581365e-05
TCP_win_size,2,0.36706821020707137
L4_payload,3,0.028394170680530805
iat_micros,3,0.02424565828223422
packet_dir,3,0.0003489763646030042
TCP_win_size,3,0.03660076673859294
L4_payload,4,0.16066501541208708
iat_micros,4,0.040527315283179634
packet_dir,4,-0.00014789718898100546
TCP_win_size,4,0.1650802431438933
L4_payload,5,0.18726646186132712
iat_micros,5,0.03815480794792166
packet_dir,5,0.0005106825012262562
TCP_win_size,5,0.07586487761909666
L4_payload,6,0.14820327267952962
iat_micros,6,0.04257006930838543
packet_dir,6,0.0009169889190161484
TCP_win_size,6,0.06085698160177344
L4_payload,7,0.09971757190141943
iat_micros,7,0.022911955765812307
packet_dir,7,0.0032754419664343002
TCP_win_size,7,0.02876516680662462
L4_payload,8,0.04432123882706947
iat_micros,8,0.014018680251501792
packet_dir,8,0.0002201907124799618
TCP_win_size,8,0.05201365377297407
L4_payload,9,0.06061592519599799
iat_micros,9,0.029111920980358263
packet_dir,9,0.0001273502639378421
TCP_win_size,9,0.021050540789838125
L4_payload,10,0.055527936473390584
iat_micros,10,0.024400428300396015
packet_dir,10,0.00026706728258432124
TCP_win_size,10,0.025811233286094647
