Feature,Packet,Importance
L4_payload,1,0.04274887478641176
iat_micros,1,0.0
packet_dir,1,-4.032391570945038e-05
TCP_win_size,1,0.09027281112230412
L4_payload,2,0.1927192142335116
iat_micros,2,0.07664595600708708
packet_dir,2,-9.452449721720768e-05
TCP_win_size,2,0.3715059646125155
L4_payload,3,0.028331529761635464
iat_micros,3,0.02000942593203945
packet_dir,3,0.0003588451438190532
TCP_win_size,3,0.03805628121644986
L4_payload,4,0.10509295362280682
iat_micros,4,0.039188148358880424
packet_dir,4,-0.0007259540776431095
TCP_win_size,4,0.16399683613217347
L4_payload,5,0.16084283285908896
iat_micros,5,0.06208496902509068
packet_dir,5,0.0008816897059659822
TCP_win_size,5,0.06009835225468123
L4_payload,6,0.13551713709530305
iat_micros,6,0.06626383919592627
packet_dir,6,-0.00013979190207464854
TCP_win_size,6,0.0856115734894047
L4_payload,7,0.10430625420849537
iat_micros,7,0.03868076510134415
packet_dir,7,0.0025004567474752547
TCP_win_size,7,0.026916904693007383
L4_payload,8,0.03914014948222757
iat_micros,8,0.011803086131476449
packet_dir,8,0.0005849491750268499
TCP_win_size,8,0.057104043173239916
L4_payload,9,0.04987615429326979
iat_micros,9,0.028002400708646746
packet_dir,9,0.00012820852261938854
TCP_win_size,9,0.018892944128674573
L4_payload,10,0.04045478799826015
iat_micros,10,0.022078255063752293
packet_dir,10,0.00037148681967664744
TCP_win_size,10,0.021982677842061094
