Fold,Feature,Packet,Importance
0,L4_payload,1,0.09164716210398183
0,iat_micros,1,0.0
0,packet_dir,1,0.00044491477456176654
0,TCP_win_size,1,0.06583029340617941
0,L4_payload,2,0.25472482899203897
0,iat_micros,2,0.1569904699572362
0,packet_dir,2,8.290796176879667e-05
0,TCP_win_size,2,0.35922729986486956
0,L4_payload,3,0.038520401294590556
0,iat_micros,3,0.04919761684141122
0,packet_dir,3,0.000361035790774622
0,TCP_win_size,3,0.026813473357833573
0,L4_payload,4,0.17981017951387912
0,iat_micros,4,0.05945177842477278
0,packet_dir,4,0.00013665101141668856
0,TCP_win_size,4,0.14923604240175337
0,L4_payload,5,0.18435523232255946
0,iat_micros,5,0.04642729755323671
0,packet_dir,5,0.0004715336726803798
0,TCP_win_size,5,0.08886221162174479
0,L4_payload,6,0.05636057100491598
0,iat_micros,6,0.07667385800959892
0,packet_dir,6,0.00026266353779647034
0,TCP_win_size,6,0.05054340435708582
0,L4_payload,7,0.049982696955339634
0,iat_micros,7,0.038205570988793625
0,packet_dir,7,0.0006793161555833649
0,TCP_win_size,7,0.12943219074077206
0,L4_payload,8,0.04374796061165398
0,iat_micros,8,0.029828559310772107
0,packet_dir,8,0.00010636923434503842
0,TCP_win_size,8,0.02391790431101981
0,L4_payload,9,0.06181568185820652
0,iat_micros,9,0.03218632381140196
0,packet_dir,9,0.00011151709804835264
0,TCP_win_size,9,0.019531112600816414
0,L4_payload,10,0.06958754804509226
0,iat_micros,10,0.04284980175543751
0,packet_dir,10,0.0003455355799815152
0,TCP_win_size,10,0.05500697796924214
1,L4_payload,1,0.0552835020571365
1,iat_micros,1,0.0
1,packet_dir,1,0.0003013053192262305
1,TCP_win_size,1,0.06842869760566828
1,L4_payload,2,0.23778735548694385
1,iat_micros,2,0.15721199281142617
1,packet_dir,2,-0.0002914132301157224
1,TCP_win_size,2,0.34431749004579615
1,L4_payload,3,0.0115563715216922
1,iat_micros,3,0.04750978476204182
1,packet_dir,3,0.0003680974605231313
1,TCP_win_size,3,0.0301587098492746
1,L4_payload,4,0.17032843414199306
1,iat_micros,4,0.04302384817128768
1,packet_dir,4,0.00023970945039764047
1,TCP_win_size,4,0.1770490142152994
1,L4_payload,5,0.16093598640691198
1,iat_micros,5,0.03175062053014699
1,packet_dir,5,0.0003399979204914416
1,TCP_win_size,5,0.05871866645793489
1,L4_payload,6,0.0818013879488717
1,iat_micros,6,0.07730863315373426
1,packet_dir,6,0.00040970723421196453
1,TCP_win_size,6,0.0418431603393401
1,L4_payload,7,0.06897013095658622
1,iat_micros,7,0.02744784615424578
1,packet_dir,7,0.001050201894940983
1,TCP_win_size,7,0.10041229870330426
1,L4_payload,8,0.048240498673294496
1,iat_micros,8,0.027725826439564116
1,packet_dir,8,-0.0005120049081597244
1,TCP_win_size,8,0.031224078681589162
1,L4_payload,9,0.042929747683047026
1,iat_micros,9,0.016819493571347266
1,packet_dir,9,-2.2591084416490048e-05
1,TCP_win_size,9,0.036324100768979406
1,L4_payload,10,0.04499832438523299
1,iat_micros,10,0.03542134247436479
1,packet_dir,10,0.00039428393120033434
1,TCP_win_size,10,0.01789947653469426
2,L4_payload,1,0.07325843143371458
2,iat_micros,1,0.0
2,packet_dir,1,-1.8542301404522732e-05
2,TCP_win_size,1,0.06688829625181825
2,L4_payload,2,0.23138359205040615
2,iat_micros,2,0.1048662941720977
2,packet_dir,2,-0.0003161064632877242
2,TCP_win_size,2,0.33297738907094754
2,L4_payload,3,0.020638935910028522
2,iat_micros,3,0.06447915518947411
2,packet_dir,3,0.000386316451113089
2,TCP_win_size,3,0.03699055121796846
2,L4_payload,4,0.13136663840850815
2,iat_micros,4,0.06164800302576623
2,packet_dir,4,-5.734636761189904e-05
2,TCP_win_size,4,0.17062817815531162
2,L4_payload,5,0.1985032155571389
2,iat_micros,5,0.029003910449318937
2,packet_dir,5,0.0004900961939711124
2,TCP_win_size,5,0.06339260212280351
2,L4_payload,6,0.0846770944117452
2,iat_micros,6,0.060745995653633145
2,packet_dir,6,-0.00020669011246354785
2,TCP_win_size,6,0.0340227667165891
2,L4_payload,7,0.04403875045500172
2,iat_micros,7,0.028492112707681372
2,packet_dir,7,0.00041634072658780497
2,TCP_win_size,7,0.11423495317103516
2,L4_payload,8,0.051961414223114843
2,iat_micros,8,0.023359448143310146
2,packet_dir,8,-0.00026880562108999584
2,TCP_win_size,8,0.021487297159183072
2,L4_payload,9,0.03994036676886026
2,iat_micros,9,0.0585841684596744
2,packet_dir,9,-4.468260158319026e-06
2,TCP_win_size,9,0.041212693469788064
2,L4_payload,10,0.06240795547455491
2,iat_micros,10,0.02003586820774217
2,packet_dir,10,0.0006236201516003348
2,TCP_win_size,10,0.026511912513342395
3,L4_payload,1,0.07223903949216037
3,iat_micros,1,0.0
3,packet_dir,1,0.000558353876840556
3,TCP_win_size,1,0.019029664817935554
3,L4_payload,2,0.2889301581926702
3,iat_micros,2,0.11895288933192205
3,packet_dir,2,0.0014699031271447893
3,TCP_win_size,2,0.3912037829468318
3,L4_payload,3,0.003089831965553458
3,iat_micros,3,0.05072473400832678
3,packet_dir,3,0.0007375348395726178
3,TCP_win_size,3,0.046320849083713256
3,L4_payload,4,0.14982004452031106
3,iat_micros,4,0.04306198585618404
3,packet_dir,4,0.0007937273867355543
3,TCP_win_size,4,0.1490351939937682
3,L4_payload,5,0.16419663824126474
3,iat_micros,5,0.032950885571153776
3,packet_dir,5,0.0012606124182639178
3,TCP_win_size,5,0.06743450220619707
3,L4_payload,6,0.12237498542435787
3,iat_micros,6,0.06054583512377576
3,packet_dir,6,0.0019126033439533785
3,TCP_win_size,6,0.05552984329642641
3,L4_payload,7,0.060030081098375376
3,iat_micros,7,0.029010319065491785
3,packet_dir,7,0.0010320186174794799
3,TCP_win_size,7,0.06991379720966506
3,L4_payload,8,0.06337090154920588
3,iat_micros,8,0.02089935209369287
3,packet_dir,8,0.00018288065712113166
3,TCP_win_size,8,0.0475843758586052
3,L4_payload,9,0.06636634926417173
3,iat_micros,9,0.035558833658797084
3,packet_dir,9,0.0002786775849017431
3,TCP_win_size,9,0.03099260283397598
3,L4_payload,10,0.07303827708801691
3,iat_micros,10,0.03729753153402271
3,packet_dir,10,2.362265786359785e-05
3,TCP_win_size,10,0.03519644829793833
4,L4_payload,1,0.05702292558089539
4,iat_micros,1,0.0
4,packet_dir,1,0.000436309495853493
4,TCP_win_size,1,0.030730383545233053
4,L4_payload,2,0.14791948162019253
4,iat_micros,2,0.13697828962358471
4,packet_dir,2,7.439922683261102e-05
4,TCP_win_size,2,0.4490314197537373
4,L4_payload,3,0.04125650618698273
4,iat_micros,3,0.04841480348568439
4,packet_dir,3,0.0008387760226469254
4,TCP_win_size,3,0.04622031684357353
4,L4_payload,4,0.14352232140663546
4,iat_micros,4,0.02348736997009837
4,packet_dir,4,0.0002367095512454398
4,TCP_win_size,4,0.175905153988424
4,L4_payload,5,0.17185210038769583
4,iat_micros,5,0.030377514185602195
4,packet_dir,5,0.0008919288893594057
4,TCP_win_size,5,0.10203966731114633
4,L4_payload,6,0.07363844704377698
4,iat_micros,6,0.07629596474362188
4,packet_dir,6,0.0003487805142867728
4,TCP_win_size,6,0.043184647890484484
4,L4_payload,7,0.056591360094898846
4,iat_micros,7,0.025917238178408297
4,packet_dir,7,0.0011229984993406106
4,TCP_win_size,7,0.07989353046104952
4,L4_payload,8,0.07010041711146187
4,iat_micros,8,0.02492860019356158
4,packet_dir,8,0.0003956822774853208
