Fold,Feature,Packet,Importance
0,L4_payload,1,0.056201026984581404
0,iat_micros,1,0.0
0,packet_dir,1,0.00012226623766764533
0,TCP_win_size,1,0.08520880681498966
0,L4_payload,2,0.1696562357392395
0,iat_micros,2,0.08024146065417881
0,packet_dir,2,-0.0002517807306503528
0,TCP_win_size,2,0.366773056238344
0,L4_payload,3,0.03771712172829211
0,iat_micros,3,0.018669131125989225
0,packet_dir,3,0.0010018579750976642
0,TCP_win_size,3,0.04636955815294641
0,L4_payload,4,0.14698711519304197
0,iat_micros,4,0.03902102340634883
0,packet_dir,4,8.567112854507286e-05
0,TCP_win_size,4,0.1710665515211076
0,L4_payload,5,0.15959562792704673
0,iat_micros,5,0.06188682572110338
0,packet_dir,5,6.869915887364186e-05
0,TCP_win_size,5,0.08647270724850387
0,L4_payload,6,0.17250357033117325
0,iat_micros,6,0.06276681626650316
0,packet_dir,6,0.0003525367756083142
0,TCP_win_size,6,0.07020931718670909
0,L4_payload,7,0.05941920861550898
0,iat_micros,7,0.03454497666734824
0,packet_dir,7,-4.437024472281337e-07
0,TCP_win_size,7,0.022461720259343565
0,L4_payload,8,0.03172766825719009
0,iat_micros,8,0.008080226187303197
0,packet_dir,8,7.830247068341123e-05
0,TCP_win_size,8,0.04877475979810697
0,L4_payload,9,0.03456238451462923
0,iat_micros,9,0.03036827017513133
0,packet_dir,9,0.0004596649550876464
0,TCP_win_size,9,0.010409777312816004
0,L4_payload,10,0.03417241918214131
0,iat_micros,10,0.012938081819811487
0,packet_dir,10,0.0004909085218969267
0,TCP_win_size,10,0.020473650455187453
0,L4_payload,11,0.03551503869721273
0,iat_micros,11,0.016543474691388838
0,packet_dir,11,0.00047908910710248165
0,TCP_win_size,11,0.053283362773981935
0,L4_payload,12,0.014852069541120727
0,iat_micros,12,0.010152420769372839
0,packet_dir,12,3.4876026802521665e-05
0,TCP_win_size,12,0.013614645679808746
0,L4_payload,13,0.0078031267194091924
0,iat_micros,13,0.00458047500160319
0,packet_dir,13,5.291827756082057e-05
0,TCP_win_size,13,0.013474709262482065
0,L4_payload,14,0.011409064083636622
0,iat_micros,14,0.0022521980881720083
0,packet_dir,14,-4.445930244401097e-06
0,TCP_win_size,14,0.011632530306087574
0,L4_payload,15,0.004223451314828708
0,iat_micros,15,0.0017872954667836893
0,packet_dir,15,0.0001520608902865206
0,TCP_win_size,15,0.016811599061838933
0,L4_payload,16,0.0029004930952396535
0,iat_micros,16,0.008093702738733555
0,packet_dir,16,-1.3545199180953205e-05
0,TCP_win_size,16,0.006549636978888884
0,L4_payload,17,0.003881286704199738
0,iat_micros,17,0.005403236476013262
0,packet_dir,17,-7.548590929218335e-05
0,TCP_win_size,17,-0.0006329198695311788
0,L4_payload,18,0.00375328668678776
0,iat_micros,18,0.009146031030468293
0,packet_dir,18,1.0847532394109294e-05
0,TCP_win_size,18,0.005823431005410384
0,L4_payload,19,0.007690883370742085
0,iat_micros,19,0.005325665302734706
0,packet_dir,19,0.00012344588776613818
0,TCP_win_size,19,0.008231345746025909
0,L4_payload,20,0.01084542817898182
0,iat_micros,20,0.009520597495793481
0,packet_dir,20,5.3258063417160884e-05
0,TCP_win_size,20,0.009424815676538856
1,L4_payload,1,0.04218124114413513
1,iat_micros,1,0.0
1,packet_dir,1,0.0005195031890252721
1,TCP_win_size,1,0.08122341626767593
1,L4_payload,2,0.17205018605091027
1,iat_micros,2,0.08099048789881635
1,packet_dir,2,-8.885575334716123e-05
1,TCP_win_size,2,0.310141647333694
1,L4_payload,3,0.03534931605827296
1,iat_micros,3,0.019556563631340396
1,packet_dir,3,0.0009123248892137781
1,TCP_win_size,3,0.05064342465084337
1,L4_payload,4,0.11711673004901968
1,iat_micros,4,0.027720486470570904
1,packet_dir,4,-0.0004966988735759514
1,TCP_win_size,4,0.19111052314656263
1,L4_payload,5,0.13942326259348192
1,iat_micros,5,0.06103184530456929
1,packet_dir,5,-4.3086613004561514e-05
1,TCP_win_size,5,0.059299535766513145
1,L4_payload,6,0.13616326138617296
1,iat_micros,6,0.0679115652674227
1,packet_dir,6,0.0002717729375945055
1,TCP_win_size,6,0.06762980110033823
1,L4_payload,7,0.06723806571608293
1,iat_micros,7,0.027629323064502387
1,packet_dir,7,0.0003569794289433048
1,TCP_win_size,7,0.01723037556894269
1,L4_payload,8,0.04252807811735693
1,iat_micros,8,0.012403000309859635
1,packet_dir,8,0.00012096801219740883
1,TCP_win_size,8,0.0578150717792596
1,L4_payload,9,0.05262747264714562
1,iat_micros,9,0.01631131093199656
1,packet_dir,9,0.00014166636719892267
1,TCP_win_size,9,0.005611886777842301
1,L4_payload,10,0.013768344330856053
1,iat_micros,10,0.01697167436759628
1,packet_dir,10,0.0004695741827163147
1,TCP_win_size,10,0.008748531361561618
1,L4_payload,11,0.023478837467337144
1,iat_micros,11,0.01183340270199551
1,packet_dir,11,1.2464689461921807e-05
1,TCP_win_size,11,0.048684107846383995
1,L4_payload,12,0.014522003313686582
1,iat_micros,12,0.01137999882848817
1,packet_dir,12,7.245121196319815e-05
1,TCP_win_size,12,0.008795816368547094
1,L4_payload,13,0.007982605025972589
1,iat_micros,13,0.010039004712780297
1,packet_dir,13,-1.4850878869765438e-05
1,TCP_win_size,13,0.013888977934584545
