Feature,Packet,Importance
L4_payload,1,0.06296475698945869
iat_micros,1,0.0
packet_dir,1,0.00028463352919061435
TCP_win_size,1,0.054841808438504815
L4_payload,2,0.22559515564425964
iat_micros,2,0.13350487035640982
packet_dir,2,0.00120617839784245
TCP_win_size,2,0.32768960089524624
L4_payload,3,0.026578670796334337
iat_micros,3,0.04908579156544875
packet_dir,3,0.0006137910993857076
TCP_win_size,3,0.04259154719402432
L4_payload,4,0.1425090548407752
iat_micros,4,0.038702786674912205
packet_dir,4,9.931820277415681e-05
TCP_win_size,4,0.17204633616420323
L4_payload,5,0.13740609192591363
iat_micros,5,0.030540245049087388
packet_dir,5,0.0006938003854884301
TCP_win_size,5,0.07035278326893604
L4_payload,6,0.07592506697110366
iat_micros,6,0.07370649957410932
packet_dir,6,0.00018102192734659184
TCP_win_size,6,0.04738481730419153
L4_payload,7,0.0453746374201728
iat_micros,7,0.02471338969480712
packet_dir,7,0.0007860952198825543
TCP_win_size,7,0.09015883686188317
L4_payload,8,0.03921403283657128
iat_micros,8,0.020341432862005605
packet_dir,8,0.0004819241015866282
TCP_win_size,8,0.022950036665861262
L4_payload,9,0.04798334906445234
iat_micros,9,0.03583022025813989
packet_dir,9,9.583820028638001e-05
TCP_win_size,9,0.021790879145191865
L4_payload,10,0.026547097272850807
iat_micros,10,0.0202931783915119
packet_dir,10,9.549326514388668e-05
TCP_win_size,10,0.019344416903550155
L4_payload,11,0.045755046533486166
iat_micros,11,0.01006381528059137
packet_dir,11,9.474679027334786e-05
TCP_win_size,11,0.02489552192746487
L4_payload,12,0.007617377603673958
iat_micros,12,0.015519197424691811
packet_dir,12,-5.538066616281867e-05
TCP_win_size,12,0.027809741913733886
L4_payload,13,0.019399987533688545
iat_micros,13,0.005909945634266478
packet_dir,13,-1.0677476893761195e-05
TCP_win_size,13,0.005242323341735755
L4_payload,14,0.006719351767060289
iat_micros,14,0.006087118075083708
packet_dir,14,9.7925895897788e-05
TCP_win_size,14,0.013931272621084645
L4_payload,15,0.008789286400497077
iat_micros,15,0.00452537743603898
packet_dir,15,0.00015878862686804495
TCP_win_size,15,0.008696288926330453
L4_payload,16,0.0033772560836951016
iat_micros,16,0.004165362746425672
packet_dir,16,2.900700565078296e-07
TCP_win_size,16,0.006628659409034299
L4_payload,17,0.002798242635617498
iat_micros,17,0.00011977761805610498
packet_dir,17,-3.830989808193408e-05
TCP_win_size,17,0.005422850395734713
L4_payload,18,0.004746018011974229
iat_micros,18,0.0050447989344320375
packet_dir,18,5.627976897812914e-05
TCP_win_size,18,0.00395224288731697
L4_payload,19,0.010307586025010095
iat_micros,19,0.003063020143235917
packet_dir,19,0.0003111728789008339
TCP_win_size,19,0.003186391187045956
L4_payload,20,0.005421203473269997
iat_micros,20,0.004232696570761618
packet_dir,20,2.4387675875914282e-05
TCP_win_size,20,0.005404047609590634
