Feature,Packet,Importance
L4_payload,1,0.06961626154879923
iat_micros,1,0.0
packet_dir,1,0.0002138378426025156
TCP_win_size,1,0.05847940452931653
L4_payload,2,0.22487544514078764
iat_micros,2,0.13179010111634853
packet_dir,2,0.0012338361915681163
TCP_win_size,2,0.32660518807460903
L4_payload,3,0.029704597539966925
iat_micros,3,0.04968899092000356
packet_dir,3,0.0005701988407963654
TCP_win_size,3,0.04156993494216295
L4_payload,4,0.1454701389746333
iat_micros,4,0.037698369940335395
packet_dir,4,9.075257385120495e-05
TCP_win_size,4,0.16639968508789024
L4_payload,5,0.1328055332382064
iat_micros,5,0.03221433478502149
packet_dir,5,0.0009297880907979561
TCP_win_size,5,0.06771549572731601
L4_payload,6,0.07136317215135932
iat_micros,6,0.06907052566330094
packet_dir,6,0.0001544908120195032
TCP_win_size,6,0.04554240755060164
L4_payload,7,0.04483217578999756
iat_micros,7,0.026701181410317076
packet_dir,7,0.0008466966044579749
TCP_win_size,7,0.09780123104719678
L4_payload,8,0.03706711778031604
iat_micros,8,0.02041807096393313
packet_dir,8,0.00038236406780924883
TCP_win_size,8,0.023024864680701286
L4_payload,9,0.04294649220264546
iat_micros,9,0.03469805040222127
packet_dir,9,5.5167306891235056e-05
TCP_win_size,9,0.02262224696260091
L4_payload,10,0.024755132707286975
iat_micros,10,0.02306274314687471
packet_dir,10,0.00012358830026641953
TCP_win_size,10,0.01978367354840884
L4_payload,11,0.04797125430741289
iat_micros,11,0.009256261425252887
packet_dir,11,0.00010909232078120113
TCP_win_size,11,0.027088016907327983
L4_payload,12,0.008280098852446826
iat_micros,12,0.01424653536741971
packet_dir,12,3.7260539102135226e-05
TCP_win_size,12,0.02886190948265721
L4_payload,13,0.021119766571064246
iat_micros,13,0.00598411877581384
packet_dir,13,-5.415585110313259e-06
TCP_win_size,13,0.005755197719736316
L4_payload,14,0.006575806771070347
iat_micros,14,0.005035134803438268
packet_dir,14,9.928779945767019e-05
TCP_win_size,14,0.013603760220576078
L4_payload,15,0.009007263618696016
iat_micros,15,0.004669963146625378
packet_dir,15,0.00017196997741848464
TCP_win_size,15,0.009195728998383857
L4_payload,16,0.003236960253889265
iat_micros,16,0.0034891010516730605
packet_dir,16,1.9021546540898272e-05
TCP_win_size,16,0.007522211391369637
L4_payload,17,0.003948762123582128
iat_micros,17,-3.6800006819248664e-05
packet_dir,17,-2.5603985704947263e-06
TCP_win_size,17,0.0061694232765148625
L4_payload,18,0.005398740455711959
iat_micros,18,0.005217814766365336
packet_dir,18,3.2294027914758774e-05
TCP_win_size,18,0.0035261380256997655
L4_payload,19,0.010254919238104777
iat_micros,19,0.0032220985092862977
packet_dir,19,0.0003484151637167088
TCP_win_size,19,0.0021792764229758175
L4_payload,20,0.005440036460822739
iat_micros,20,0.003169884615454066
packet_dir,20,1.9864377463818528e-05
TCP_win_size,20,0.0055814244620705725
